proposal_id	proposal_type	identity_key	card	disposition	approval_basis	validator_version	validation_failures
packet1_rationale_abzan_2b3f791a_d672_46fb_a03a_96e19f2c3121	CARD_RATIONALE	ABZAN	Felothar the Steadfast	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_b_cbe3a4e7_5dbe_4f58_8ee6_a1762b65acfd	CARD_RATIONALE	B	K'rrik, Son of Yawgmoth	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_colorless_50676eba_a55a_4749_bb07_74a30e015781	CARD_RATIONALE	COLORLESS	Omarthis, Ghostfire Initiate	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_colorless_ec726c54_987b_48ed_8ffa_ec73a5e35333	CARD_RATIONALE	COLORLESS	Zhulodok, Void Gorger	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_dune_e54d207c_51b8_458e_86a1_2633ac064c8e	CARD_RATIONALE	DUNE	Saskia the Unyielding	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_esper_3268251a_8292_44f9_9267_c961b182f739	CARD_RATIONALE	ESPER	Y'shtola, Night's Blessed	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_g_6c2c8bf3_9bf8_4a86_89d3_3bb36260dc51	CARD_RATIONALE	G	Azusa, Lost but Seeking	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_glint_9efe8aff_9a7d_4397_b5fd_c1a0fad7c15f	CARD_RATIONALE	GLINT	Yidris, Maelstrom Wielder	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_grixis_f5092c14_eec4_472c_999c_ba96c36b2fbb	CARD_RATIONALE	GRIXIS	Kess, Dissident Mage	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_ink_53ee4254_fef7_49ec_aafc_0320987764e6	CARD_RATIONALE	INK	Kynaios and Tiro of Meletis	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_jeskai_40ed32a6_ad56_48c7_aecf_b4238c34c212	CARD_RATIONALE	JESKAI	Shiko and Narset, Unified	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_jund_868882d2_ed4e_4171_a17c_478a341080fb	CARD_RATIONALE	JUND	Prossh, Skyraider of Kher	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_mardu_0f93d88c_9d2e_416d_a10b_99483360b1fb	CARD_RATIONALE	MARDU	Zurgo Stormrender	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_naya_e7604cd9_d00d_4957_82c9_46a7cdb88209	CARD_RATIONALE	NAYA	Shalai and Hallar	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_prismari_348c67ef_9ccc_4651_9038_efdf1ad1b36a	CARD_RATIONALE	PRISMARI	Rootha, Mastering the Moment	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_quandrix_977f9390_e01d_4e9d_8e9c_e543b1266972	CARD_RATIONALE	QUANDRIX	Zimone, Infinite Analyst	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_r_8c3495bf_02e7_4ad9_949d_92eb3d2b662a	CARD_RATIONALE	R	Torbran, Thane of Red Fell	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_silverquill_d11e627b_8a48_411d_a261_2c9a02a758ba	CARD_RATIONALE	SILVERQUILL	Breena, the Demagogue	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_sultai_0177b410_b559_491f_b393_ac3ed774653c	CARD_RATIONALE	SULTAI	Kotis, Sibsig Champion	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_temur_1b162dd3_3be6_406d_bf86_f7cc9eff098d	CARD_RATIONALE	TEMUR	Eshki, Temur's Roar	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_u_ea1eb902_a23c_44ff_9169_19baf71de238	CARD_RATIONALE	U	Talrand, Sky Summoner	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_w_48e6d3d8_2f27_4017_acdd_40bce8cdbc02	CARD_RATIONALE	W	Giada, Font of Hope	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_witch_7e6b9b59_cd68_4e3c_827b_38833c92d6eb	CARD_RATIONALE	WITCH	Atraxa, Praetors' Voice	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_witherbloom_f61c1dc4_2f09_4b50_957f_ee656c659072	CARD_RATIONALE	WITHERBLOOM	Dina, Essence Brewer	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
