record_id	record_type	identity_or_pair	disposition	approval_basis	validator_version	failures
packet2_identity_wu	IDENTITY_DOSSIER	WU	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_ub	IDENTITY_DOSSIER	UB	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_br	IDENTITY_DOSSIER	BR	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_rg	IDENTITY_DOSSIER	RG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_wg	IDENTITY_DOSSIER	WG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_wb	IDENTITY_DOSSIER	WB	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_ur	IDENTITY_DOSSIER	UR	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_bg	IDENTITY_DOSSIER	BG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_ug	IDENTITY_DOSSIER	UG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_wr	IDENTITY_DOSSIER	WR	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_lorehold	IDENTITY_DOSSIER	LOREHOLD	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_prismari	IDENTITY_DOSSIER	PRISMARI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_witherbloom	IDENTITY_DOSSIER	WITHERBLOOM	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_quandrix	IDENTITY_DOSSIER	QUANDRIX	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_silverquill	IDENTITY_DOSSIER	SILVERQUILL	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_w	IDENTITY_DOSSIER	W	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_u	IDENTITY_DOSSIER	U	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_b	IDENTITY_DOSSIER	B	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_r	IDENTITY_DOSSIER	R	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_g	IDENTITY_DOSSIER	G	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_bant	IDENTITY_DOSSIER	BANT	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_esper	IDENTITY_DOSSIER	ESPER	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_grixis	IDENTITY_DOSSIER	GRIXIS	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_jund	IDENTITY_DOSSIER	JUND	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_naya	IDENTITY_DOSSIER	NAYA	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_abzan	IDENTITY_DOSSIER	ABZAN	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_temur	IDENTITY_DOSSIER	TEMUR	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_sultai	IDENTITY_DOSSIER	SULTAI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_mardu	IDENTITY_DOSSIER	MARDU	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_jeskai	IDENTITY_DOSSIER	JESKAI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_yore	IDENTITY_DOSSIER	YORE	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_glint	IDENTITY_DOSSIER	GLINT	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_dune	IDENTITY_DOSSIER	DUNE	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_ink	IDENTITY_DOSSIER	INK	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_witch	IDENTITY_DOSSIER	WITCH	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_colorless	IDENTITY_DOSSIER	COLORLESS	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_identity_wubrg	IDENTITY_DOSSIER	WUBRG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_abzan_mardu	PUBLIC_COMPARISON	ABZAN::MARDU	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_abzan_silverquill	PUBLIC_COMPARISON	ABZAN::SILVERQUILL	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_abzan_sultai	PUBLIC_COMPARISON	ABZAN::SULTAI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_abzan_witch	PUBLIC_COMPARISON	ABZAN::WITCH	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_abzan_yore	PUBLIC_COMPARISON	ABZAN::YORE	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_esper	PUBLIC_COMPARISON	B::ESPER	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_glint	PUBLIC_COMPARISON	B::GLINT	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_prismari	PUBLIC_COMPARISON	B::PRISMARI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_r	PUBLIC_COMPARISON	B::R	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_rg	PUBLIC_COMPARISON	B::RG	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_sultai	PUBLIC_COMPARISON	B::SULTAI	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_u	PUBLIC_COMPARISON	B::U	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_ub	PUBLIC_COMPARISON	B::UB	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet2_comparison_b_w	PUBLIC_COMPARISON	B::W	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
