field,left_identity,right_identity,normalized_exact,token_jaccard
decree,ABZAN,B,false,0.735849
reading_signal,ABZAN,B,false,0.673913
decree,ABZAN,BANT,false,0.679245
decree,ABZAN,BG,false,0.666667
decree,ABZAN,BR,false,0.654545
decree,ABZAN,COLORLESS,false,0.666667
decree,ABZAN,DUNE,false,0.655172
decree,ABZAN,ESPER,false,0.722222
decree,ABZAN,G,false,0.666667
decree,ABZAN,GRIXIS,false,0.698113
decree,ABZAN,JESKAI,false,0.660714
decree,ABZAN,JUND,false,0.716981
decree,ABZAN,LOREHOLD,false,0.716981
decree,ABZAN,MARDU,false,0.709091
decree,ABZAN,NAYA,false,0.722222
decree,ABZAN,PRISMARI,false,0.666667
decree,ABZAN,QUANDRIX,false,0.666667
decree,ABZAN,R,false,0.716981
decree,ABZAN,RG,false,0.654545
decree,ABZAN,SILVERQUILL,false,0.716981
decree,ABZAN,SULTAI,false,0.685185
decree,ABZAN,U,false,0.685185
decree,ABZAN,UB,false,0.685185
decree,ABZAN,UG,false,0.666667
decree,ABZAN,UR,false,0.654545
decree,ABZAN,W,false,0.764706
decree,ABZAN,WB,false,0.75
decree,ABZAN,WG,false,0.654545
decree,ABZAN,WITHERBLOOM,false,0.654545
decree,ABZAN,WR,false,0.730769
decree,ABZAN,WU,false,0.666667
decree,ABZAN,WUBRG,false,0.660714
decree,ABZAN,YORE,false,0.703704
decree,B,BANT,false,0.705882
decree,B,BG,false,0.692308
decree,B,BR,false,0.679245
decree,B,COLORLESS,false,0.692308
decree,B,DUNE,false,0.678571
decree,B,ESPER,false,0.716981
decree,B,G,false,0.72549
decree,B,GRIXIS,false,0.72549
decree,B,INK,false,0.666667
decree,B,JESKAI,false,0.654545
decree,B,JUND,false,0.745098
decree,B,LOREHOLD,false,0.745098
decree,B,MARDU,false,0.703704
decree,B,NAYA,false,0.716981
decree,B,PRISMARI,false,0.72549
decree,B,QUANDRIX,false,0.72549
decree,B,R,false,0.745098
decree,B,RG,false,0.711538
decree,B,SILVERQUILL,false,0.745098
decree,B,SULTAI,false,0.711538
decree,B,TEMUR,false,0.685185
decree,B,U,false,0.711538
decree,B,UB,false,0.745098
decree,B,UG,false,0.72549
decree,B,UR,false,0.711538
decree,B,W,false,0.76
decree,B,WB,false,0.78
decree,B,WG,false,0.711538
decree,B,WITCH,false,0.654545
decree,B,WITHERBLOOM,false,0.679245
decree,B,WR,false,0.76
decree,B,WU,false,0.692308
decree,B,WUBRG,false,0.685185
decree,B,YORE,false,0.730769
decree,BANT,BG,false,0.808511
decree,BANT,BR,false,0.72
decree,BANT,COLORLESS,false,0.734694
decree,BANT,DUNE,false,0.654545
decree,BANT,ESPER,false,0.692308
decree,BANT,G,false,0.734694
decree,BANT,GRIXIS,false,0.734694
decree,BANT,INK,false,0.8125
reading_signal,BANT,INK,false,0.683333
decree,BANT,JESKAI,false,0.692308
decree,BANT,JUND,false,0.72
decree,BANT,LOREHOLD,false,0.72
decree,BANT,MARDU,false,0.679245
decree,BANT,NAYA,false,0.692308
decree,BANT,PRISMARI,false,0.734694
decree,BANT,QUANDRIX,false,0.734694
decree,BANT,R,false,0.72
decree,BANT,RG,false,0.72
decree,BANT,SILVERQUILL,false,0.72
decree,BANT,SULTAI,false,0.72
