Date,Deck,Commander,Colors,Set
2011-06-17,Heavenly Inferno,Kaalia of the Vast,WBR,Commander 2011
2011-06-17,Mirror Mastery,Riku of Two Reflections,URG,Commander 2011
2011-06-17,Counterpunch,"Ghave, Guru of Spores",WBG,Commander 2011
2011-06-17,Political Puppets,Zedruu the Greathearted,WUR,Commander 2011
2011-06-17,Devour for Power,The Mimeoplasm,UBG,Commander 2011
2013-11-01,Evasive Maneuvers,"Derevi, Empyrial Tactician",WUG,Commander 2013
2013-11-01,Eternal Bargain,"Oloro, Ageless Ascetic",WUB,Commander 2013
2013-11-01,Mind Seize,"Jeleva, Nephalia's Scourge",UBR,Commander 2013
2013-11-01,Power Hungry,"Prossh, Skyraider of Kher",BRG,Commander 2013
2013-11-01,Nature of the Beast,"Marath, Will of the Wild",WRG,Commander 2013
2014-11-07,Forged in Stone,"Nahiri, the Lithomancer",W,Commander 2014
2014-11-07,Peer Through Time,"Teferi, Temporal Archmage",U,Commander 2014
2014-11-07,Sworn to Darkness,Ob Nixilis of the Black Oath,B,Commander 2014
2014-11-07,Built from Scratch,"Daretti, Scrap Savant",R,Commander 2014
2014-11-07,Guided by Nature,"Freyalise, Llanowar's Fury",G,Commander 2014
2015-11-13,Call the Spirits,Daxos the Returned,WB,Commander 2015
2015-11-13,Seize Control,Mizzix of the Izmagnus,UR,Commander 2015
2015-11-13,Plunder the Graves,Meren of Clan Nel Toth,BG,Commander 2015
2015-11-13,Wade Into Battle,"Kalemne, Disciple of Iroas",WR,Commander 2015
2015-11-13,Swell the Host,"Ezuri, Claw of Progress",UG,Commander 2015
2016-11-11,Entropic Uprising,"Yidris, Maelstrom Wielder",UBRG,Commander 2016
2016-11-11,Open Hostility,Saskia the Unyielding,WBRG,Commander 2016
2016-11-11,Stalwart Unity,Kynaios and Tiro of Meletis,WURG,Commander 2016
2016-11-11,Breed Lethality,"Atraxa, Praetors' Voice",WUBG,Commander 2016
2016-11-11,Invent Superiority,"Breya, Etherium Shaper",WUBR,Commander 2016
2017-08-25,Draconic Domination,The Ur-Dragon,WUBRG,Commander 2017
2017-08-25,Feline Ferocity,"Arahbo, Roar of the World",WG,Commander 2017
2017-08-25,Vampiric Bloodlust,Edgar Markov,WBR,Commander 2017
2017-08-25,Arcane Wizardry,"Inalla, Archmage Ritualist",UBR,Commander 2017
2018-08-10,Exquisite Invention,"Saheeli, the Gifted",UR,Commander 2018
2018-08-10,Nature's Vengeance,Lord Windgrace,BRG,Commander 2018
2018-08-10,Adaptive Enchantment,"Estrid, the Masked",WUG,Commander 2018
2018-08-10,Subjective Reality,"Aminatou, the Fateshifter",WUB,Commander 2018
2019-08-23,Faceless Menace,"Kadena, Slinking Sorcerer",UBG,Commander 2019
2019-08-23,Mystic Intellect,"Sevinne, the Chronoclasm",WUR,Commander 2019
2019-08-23,Primal Genesis,"Ghired, Conclave Exile",WRG,Commander 2019
2019-08-23,Merciless Rage,Anje Falkenrath,BR,Commander 2019
2020-04-17,Ruthless Regiment,Jirina Kudro,WBR,Ikoria
2020-04-17,Arcane Maelstrom,"Kalamax, the Stormsire",URG,Ikoria
2020-04-17,Symbiotic Swarm,"Kathril, Aspect Warper",WBG,Ikoria
2020-04-17,Timeless Wisdom,"Gavi, Nest Warden",WUR,Ikoria
2020-04-17,Enhanced Evolution,"Otrimi, the Ever-Playful",UBG,Ikoria
2020-09-25,Land's Wrath,"Obuun, Mul Daya Ancestor",WRG,Zendikar Rising
2020-09-25,Sneak Attack,"Anowon, the Ruin Thief",UB,Zendikar Rising
2020-11-20,Reap the Tides,"Aesi, Tyrant of Gyre Strait",UG,Commander Legends
2020-11-20,Arm for Battle,"Wyleth, Soul of Steel",WR,Commander Legends
2021-02-05,Phantom Premonition,"Ranar, the Ever-Watchful",WU,Kaldheim
2021-02-05,Elven Empire,"Lathril, Blade of the Elves",BG,Kaldheim
2021-04-23,Lorehold Legacies,"Osgir, the Reconstructor",WR,Strixhaven
2021-04-23,Silverquill Statement,"Breena, the Demagogue",WB,Strixhaven
2021-04-23,Witherbloom Witchcraft,"Willowdusk, Essence Seer",BG,Strixhaven
2021-04-23,Quantum Quandrix,"Adrix and Nev, Twincasters",UG,Strixhaven
2021-04-23,Prismari Performance,"Zaffai, Thunder Conductor",UR,Strixhaven
2021-07-23,Aura of Courage,"Galea, Kindler of Hope",WUG,Forgotten Realms
2021-07-23,Draconic Rage,"Vrondiss, Rage of Ancients",RG,Forgotten Realms
2021-07-23,Dungeons of Death,Sefris of the Hidden Ways,WUB,Forgotten Realms
2021-07-23,Planar Portal,"Prosper, Tome-Bound",BR,Forgotten Realms
2021-09-24,Undead Unleashed,"Wilhelt, the Rotcleaver",UB,Midnight Hunt
2021-09-24,Coven Counters,"Leinore, Autumn Sovereign",WG,Midnight Hunt
2021-11-19,Vampiric Bloodline,"Strefan, Maurer Progenitor",BR,Crimson Vow
2021-11-19,Spirit Squadron,"Millicent, Restless Revenant",WU,Crimson Vow
2022-02-18,Buckle Up,"Kotori, Pilot Prodigy",WU,Kamigawa: Neon Dynasty
2022-02-18,Upgrades Unleashed,"Chishiro, the Shattered Blade",RG,Kamigawa: Neon Dynasty
2022-04-29,Obscura Operation,"Kamiz, Obscura Oculus",WUB,New Capenna
2022-04-29,Maestros Massacre,"Anhelo, the Painter",UBR,New Capenna
2022-04-29,Riveteers Rampage,Henzie “Toolbox” Torre,BRG,New Capenna
2022-04-29,Cabaretti Cacophony,"Kitt Kanto, Mayhem Diva",WRG,New Capenna
2022-04-29,Bedecked Brokers,"Perrie, the Pulverizer",WUG,New Capenna
2022-06-10,Party Time,Nalia de’Arnise,WB,Battle for Baldur's Gate
2022-06-10,Mind Flayarrrs,Captain N’ghathrod,UB,Battle for Baldur's Gate
2022-06-10,Draconic Dissent,"Firkraag, Cunning Instigator",UR,Battle for Baldur's Gate
2022-06-10,Exit From Exile,"Faldorn, Dread Wolf Herald",RG,Battle for Baldur's Gate
2022-09-09,Painbow,Jared Carthalion,WUBRG,Dominaria United
2022-09-09,Legends’ Legacy,"Dihada, Binder of Wills",WBR,Dominaria United
2022-10-07,The Ruinous Powers,Abaddon the Despoiler,UBR,Warhammer 40k
2022-10-07,Tyranid Swarm,The Swarmlord,URG,Warhammer 40k
2022-10-07,Forces of the Imperium,Inquisitor Greyfax,WUB,Warhammer 40k
2022-10-07,Necron Dynasties,"Szarekh, the Silent King",B,Warhammer 40k
2022-11-18,Urza’s Iron Alliance,"Urza, Chief Artificer",WUB,The Brothers' War
2022-11-18,Mishra’s Burnished Banner,"Mishra, Eminent One",UBR,The Brothers' War
2023-02-04,Corrupting Influence,"Ixhel, Scion of Atraxa",WBG,Phyrexia: ALL
2023-02-04,Rebellion Rising,Neyali Sun’s Vanguard,WR,Phyrexia: ALL
2023-04-21,Growing Threat,"Brimaz, Blight of Oreskos",WB,March of the Machine
2023-04-21,Cavalry Charge,Sidar Jabari of Zhalfir,WUB,March of the Machine
2023-04-21,Call for Backup,"Bright-Palm, Soul Awakener",WRG,March of the Machine
2023-04-21,Divine Convocation,"Kasla, the Broken Halo",WUR,March of the Machine
2023-04-21,Tinker Time,"Gimbal, Gremlin Prodigy",URG,March of the Machine
2023-06-16,Food and Fellowship,Frodo / Sam,WBG,Lord of the Rings
2023-06-16,Elven Council,"Galadriel, Elven Queen",UG,Lord of the Rings
2023-06-16,Riders of Rohan,"Eowyn, Shieldmaiden",WUR,Lord of the Rings
2023-06-16,The Hosts of Mordor,"Sauron, Lord of the Rings",UBR,Lord of the Rings
2023-08-04,Sliver Swarm,Sliver Gravemother,WUBRG,Commander Masters
2023-08-04,Planeswalker Party,Commodore Guff,WUR,Commander Masters
2023-08-04,Enduring Enchantments,"Anikthea, Hand of Erebos",WBG,Commander Masters
2023-08-04,Eldrazi Unbound,"Zhulodok, Void Gorger",C,Commander Masters
2023-09-08,Virtue and Valor,Ellivere of the Wild Court,GW,Wilds of Eldraine
2023-09-08,Fae Dominion,"Tegwyll, Duke of Splendor",UB,Wilds of Eldraine
2023-10-13,Blast From the Past,Fourth Doctor / Sarah Jane,WUG,Doctor Who
2023-10-13,Timey-Wimey,Tenth Doctor / Rose Tyler,WUR,Doctor Who
2023-10-13,Paradox Power,Thirteenth Doctor / Yasmin,URG,Doctor Who
2023-10-13,Masters of Evil,"Davros, Dalek Creator",UBR,Doctor Who
2023-11-17,Veloci-Ramp-Tor,"Pantlaza, Sun-Favored",WRG,Lost Caverns of Ixalan
2023-11-17,Blood Rites,Clavileño,WB,Lost Caverns of Ixalan
2023-11-17,Ahoy Mateys,Admiral Brass,UBR,Lost Caverns of Ixalan
2023-11-17,Explorers of the Deep,Hakbal of the Surging Soul,UG,Lost Caverns of Ixalan
2012-11-02,Commander's Arsenal,N/A,N/A,Premium Box
2022-12-07,"Heads I Win, Tails You Lose",Zndrsplt / Okaun,UR,Secret Lair Exclusive
2024-02-23,Raining Cats and Dogs,"Rin and Seri, Inseparable",WRG,Secret Lair Exclusive
